"Country","CustomerID","TotalRevenue","LogRevenue"
"Germany",12426,582.73,6.3677239572926
"Germany",12427,825.8,6.71635261345199
"Germany",12468,729.54,6.59241419853638
"Germany",12471,19824.05,9.89465112606106
"Germany",12472,6572.11,8.79059021669207
"Germany",12473,3938.55,8.27856791425132
"Germany",12474,7375.79,8.9059582941153
"Germany",12475,723.38,6.58393467191435
"Germany",12476,6816.42,8.82708968632904
"Germany",12477,13219.74,9.48946644604132
"Germany",12479,527.2,6.2675799831883
"Germany",12480,3281.63,8.09609552915834
"Germany",12481,5596.32,8.62986451785309
"Germany",12492,263.21,5.57295219265038
"Germany",12497,1043.1,6.94995232768193
"Germany",12498,403.7,6.0006720278589
"Germany",12500,4257.82,8.3565125711921
"Germany",12501,2169.39,7.68220130102603
"Germany",12504,482.05,6.17804784311039
"Germany",12516,1312.06,7.17935370016569
"Germany",12517,2502.84,7.82518136609654
"Germany",12518,2056.89,7.62895041228724
"Germany",12519,340.84,5.83141315895976
"Germany",12520,2634.26,7.87635758661934
"Germany",12521,599.68,6.39639617961
"Germany",12522,192.72,5.26123835830662
"Germany",12524,4485.72,8.40865429672557
"Germany",12526,1316.66,7.1828535059231
"Germany",12527,348.71,5.85424063121706
"Germany",12528,1933.48,7.56707676705799
"Germany",12530,1662.28,7.41594543294644
"Germany",12531,125.22,4.83007219031716
"Germany",12534,1089.18,6.9931803985304
"Germany",12559,561.71,6.33098570247765
"Germany",12560,2134.01,7.66575811788633
"Germany",12561,238.85,5.47583573983597
"Germany",12566,351.65,5.86263636275403
"Germany",12569,4124.69,8.32474614442961
"Germany",12572,1020.42,6.92796958623238
"Germany",12580,415.7,6.02996384625859
"Germany",12581,197.71,5.28680131058679
"Germany",12585,2040.1,7.62075410524468
"Germany",12590,9864.26,9.19667340297207
"Germany",12592,437.6,6.08130525110777
"Germany",12600,2599.04,7.86289742505788
"Germany",12601,577.06,6.3579462472371
"Germany",12603,739.2,6.60556852032747
"Germany",12609,1126.85,7.02718140846467
"Germany",12612,704.04,6.55683517272577
"Germany",12613,3344.38,8.11503660411211
"Germany",12614,315.6,5.75447558897172
"Germany",12619,3641.24,8.20007956196023
"Germany",12621,13689.67,9.52439681280569
"Germany",12622,180.1,5.19351225218191
"Germany",12623,305.1,5.72063959172262
"Germany",12625,2683.82,7.89499643175922
"Germany",12626,6620.48,8.79792315385538
"Germany",12627,4478.53,8.40705014656424
"Germany",12628,786.46,6.66754186297233
"Germany",12633,2163.98,7.67970439777949
"Germany",12635,1689.18,7.43199848306547
"Germany",12642,1013.26,6.92092813469238
"Germany",12644,477.91,6.16942243024487
"Germany",12645,1775.18,7.48165710521873
"Germany",12647,3722.82,8.22223672459754
"Germany",12648,318.05,5.76220860312481
